State,Region,State Abbreviation,GiniCoeff,PovRate1,V_Relig,pHigh,netpHigh,netpHigh_label,netpHigh_dummy,pBatDeg,netpBatDeg,netpBatDeg_label,netpBatDeg_dummy,pAdDeg,pAdDe_label,pAdDeg_dummy,Pop2010,count_of_Grand Total,successful_rate,education_leverage,"(high,Ba,Ad)"
New York,Northeast,NY,0.499,0.159,32,0.847,0.523,low-pHigh,0,0.324,0.184,high-pBatDeg,2,0.14,high-pAdDeg,4,19746813,2301,0.522381573,6,"(0,1,1)"
North Carolina,South,NC,0.464,0.172,50,0.843,0.578,low-pHigh,0,0.265,0.177,high-pBatDeg,2,0.088,low-pAdDeg,0,9479467,152,0.328947368,2,"(0,1,0)"
North Dakota,Midwest,ND,0.433,0.111,44,0.901,0.643,high-pHigh,1,0.258,0.191,high-pBatDeg,2,0.067,low-pAdDeg,0,653642,4,0.25,3,"(1,1,0)"
Ohio,Midwest,OH,0.452,0.158,39,0.876,0.635,high-pHigh,1,0.241,0.153,low-pBatDeg,0,0.088,low-pAdDeg,0,11663946,179,0.296089385,1,"(1,0,0)"
Oklahoma,South,OK,0.454,0.166,48,0.856,0.629,high-pHigh,1,0.227,0.153,low-pBatDeg,0,0.074,low-pAdDeg,0,3725797,40,0.25,1,"(1,0,0)"
Oregon,West,OR,0.449,0.164,30,0.891,0.599,high-pHigh,1,0.292,0.188,high-pBatDeg,2,0.104,high-pAdDeg,4,3865861,326,0.469325153,7,"(1,1,1)"
Pennsylvania,Northeast,PA,0.461,0.136,40,0.879,0.615,high-pHigh,1,0.264,0.162,low-pBatDeg,0,0.102,high-pAdDeg,4,12737230,318,0.405660377,5,"(1,0,1)"
Rhode Island,Northeast,RI,0.467,0.148,32,0.847,0.542,low-pHigh,0,0.305,0.188,high-pBatDeg,2,0.117,high-pAdDeg,4,1064277,35,0.542857143,6,"(0,1,1)"
South Carolina,South,SC,0.461,0.179,54,0.836,0.593,low-pHigh,0,0.243,0.159,low-pBatDeg,0,0.084,low-pAdDeg,0,4609176,55,0.363636364,0,"(0,0,0)"
South Dakota,Midwest,SD,0.442,0.141,45,0.899,0.648,high-pHigh,1,0.251,0.178,high-pBatDeg,2,0.073,low-pAdDeg,0,820920,9,0.333333333,3,"(1,1,0)"
Tennessee,South,TN,0.468,0.182,52,0.831,0.601,high-pHigh,1,0.23,0.151,low-pBatDeg,0,0.079,low-pAdDeg,0,6362421,218,0.458715596,1,"(1,0,0)"
Texas,South,TX,0.469,0.172,47,0.799,0.544,low-pHigh,0,0.255,0.17,low-pBatDeg,0,0.085,low-pAdDeg,0,25042738,452,0.35619469,0,"(0,0,0)"
Utah,West,UT,0.419,0.118,57,0.904,0.619,high-pHigh,1,0.285,0.194,high-pBatDeg,2,0.091,low-pAdDeg,0,2813835,81,0.37037037,3,"(1,1,0)"
Vermont,Northeast,VT,0.444,0.122,22,0.91,0.579,low-pHigh,0,0.331,0.198,high-pBatDeg,2,0.133,high-pAdDeg,4,628294,31,0.548387097,6,"(0,1,1)"
Virginia,South,VA,0.459,0.118,42,0.866,0.526,low-pHigh,0,0.34,0.199,high-pBatDeg,2,0.141,high-pAdDeg,4,7965428,112,0.410714286,6,"(0,1,1)"
Washington,West,WA,0.441,0.132,30,0.897,0.587,low-pHigh,0,0.31,0.199,high-pBatDeg,2,0.111,high-pAdDeg,4,6734229,303,0.425742574,6,"(0,1,1)"
West Virginia,South,WV,0.451,0.183,43,0.828,0.655,high-pHigh,1,0.173,0.106,low-pBatDeg,0,0.067,low-pAdDeg,0,1838901,17,0.352941176,1,"(1,0,0)"
Wisconsin,Midwest,WI,0.43,0.132,37,0.898,0.641,high-pHigh,1,0.257,0.173,low-pBatDeg,0,0.084,low-pAdDeg,0,5714200,59,0.372881356,1,"(1,0,0)"
Wyoming,West,WY,0.423,0.106,34,0.918,0.68,high-pHigh,1,0.238,0.159,low-pBatDeg,0,0.079,low-pAdDeg,0,549990,8,0.125,1,"(1,0,0)"
