State,Region,State Abbreviation,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Densitym2,V_Relig,pHigh,pBatDeg,pAdDeg,Pop2010,count_of_canceled,count_of_failed,count_of_successful,count_of_Grand Total,successful rate,January,February,March,April,May,June,July,August,September,October,November,December,total_count,Art,Comics,Crafts,Dance,Design,Fashion,Film & Video,Food,Games,Journalism,Music,Photography,Publishing,Technology,Theater, pledged_amount_of_canceled, pledged_amount_of_failed, pledged_amount_of_successful, pledged_amount_of_suspended, pledged_amount_of_Grand Total,raising_rate,average_of_goal_canceled,average_of_goal_failed,average_of_goal_successful,average_of_goal_suspended,average_of_goal_Grand Total, average_pledged_amount_of_canceled,  average_pledged_amount_of_failed,  average_pledged_amount_of_successful,  average_pledged_amount_of_suspended,  average_pledged_amount_of_Grand Total
Iowa,Midwest,IA,0.427,0.123,368,0.109,0.086,54.81,41,0.914,0.251,0.074,3039465,4,18,7,29,0.24137931,0,0,0,10,0,0,0,0,0,0,0,19,29,2,1,0,0,0,0,6,0,5,2,7,1,4,1,0,3026,7111,39707,0,49844,0.796625471,4875,4088.888889,4897.857143,0,4392.586207,756.5,395.0555556,5672.428571,0,1718.758621
Kansas,Midwest,KS,0.445,0.135,381,0.139,0.115,35.09,45,0.897,0.295,0.102,2848369,1,11,11,23,0.47826087,0,0,0,9,0,0,0,0,0,0,0,14,23,3,0,0,0,1,0,3,0,1,1,10,0,3,0,1,805,5822,23923,0,30550,0.783076923,27500,2518.181818,1995.454545,0,3354.347826,805,529.2727273,2174.818182,0,1328.26087
Kentucky,South,KY,0.466,0.19,812,0.171,0.136,110,47,0.817,0.21,0.085,4359450,8,22,20,50,0.4,0,0,0,11,0,0,0,0,0,0,0,40,51,3,4,0,0,0,0,19,2,1,0,12,5,5,0,0,2557,9411,119452,0,131420,0.908933191,2737.125,5092.409091,4955,10000,4765.294118,319.625,427.7727273,5972.6,0,2576.862745
Louisiana,South,LA,0.475,0.199,898,0.143,0.185,105,54,0.822,0.214,0.069,4539283,11,62,54,127,0.42519685,0,0,0,51,0,1,0,0,0,0,0,75,127,15,1,0,0,2,1,42,1,4,2,35,6,8,1,9,5576,30269,350287,0,386132,0.907169051,8309.090909,11617.22581,5154.555556,0,8582.787402,506.9090909,488.2096774,6486.796296,0,3040.409449
Maine,Northeast,ME,0.437,0.14,181,0.116,0.112,43.04,25,0.902,0.269,0.096,1332155,5,29,30,64,0.46875,0,0,0,29,0,0,0,0,0,0,0,35,64,8,0,0,0,1,2,18,2,0,0,23,3,5,1,1,1668,15237,154583,0,171488,0.901421674,6600,4551.724138,4248.6,0,4569.65625,333.6,525.4137931,5152.766667,0,2679.5
Maryland,South,MD,0.443,0.104,604,0.096,0.101,606.2,28,0.89,0.373,0.16,5759373,11,58,41,110,0.372727273,0,0,0,30,0,0,1,0,0,0,0,79,110,5,1,0,2,0,2,30,5,1,1,44,0,14,2,3,12551,24635,207130,0,244316,0.847795478,101788.6364,12930.84483,3992.512195,0,18485.06364,1141,424.7413793,5051.95122,0,2221.054545
Massachusetts,Northeast,MA,0.475,0.117,760,0.109,0.138,852.1,28,0.89,0.382,0.164,6662878,21,136,136,293,0.464163823,0,0,0,101,0,1,0,0,1,1,1,188,293,16,5,1,3,9,4,90,7,12,2,99,6,22,6,11,8585,122278,833160,0,964023,0.864253239,12146.42857,9531.183824,4223.503824,0,7254.991536,408.8095238,899.1029412,6126.176471,0,3290.180887
Michigan,Midwest,MI,0.451,0.162,1567,0.276,0.135,174.8,37,0.879,0.246,0.094,10074498,22,107,88,217,0.405529954,0,0,0,80,0,0,1,0,0,0,0,137,218,33,3,3,1,7,4,55,13,6,6,56,9,6,11,5,3526,38785,447398,0,489709,0.913599709,6073.454545,5569.373832,3889.561705,10000,4962.479037,160.2727273,362.4766355,5084.068182,0,2246.37156
Minnesota,Midwest,MN,0.44,0.114,607,0.121,0.097,67.14,40,0.917,0.315,0.103,5321556,10,56,44,110,0.4,0,0,0,40,0,0,0,0,0,1,0,69,110,8,8,0,1,4,1,22,1,1,1,31,3,12,2,15,2730,35937,222047,0,260714,0.851688057,8110,6624.642857,3791.318182,0,5626.345455,273,641.7321429,5046.522727,0,2370.127273
Mississippi,South,MS,0.468,0.219,634,0.232,0.161,63.5,59,0.804,0.196,0.071,2983018,1,10,8,19,0.421052632,0,0,0,4,1,0,0,0,0,0,0,14,19,0,1,1,0,0,0,7,1,0,1,5,0,2,1,0,125,1631,34206,0,35962,0.95117068,5000,9675,4016.625,0,7046.473684,125,163.1,4275.75,0,1892.736842
Missouri,Midwest,MO,0.455,0.155,908,0.156,0.124,87.26,44,0.868,0.252,0.095,6050503,10,74,46,130,0.353846154,0,0,0,37,0,1,0,0,0,0,0,92,130,11,2,1,3,4,2,32,4,7,2,38,4,11,1,8,3793,34047.5,144969,0,182809.5,0.793005834,24165,6245.108108,2368.893261,0,6251.977615,379.3,460.1013514,3151.5,0,1406.226923
Montana,West,MT,0.435,0.152,151,0.135,0.121,6.858,35,0.908,0.274,0.083,985235,1,12,5,18,0.277777778,0,0,0,4,0,0,0,0,0,0,1,13,18,2,0,1,0,1,0,7,0,1,1,1,1,2,1,0,0,3511,17262,0,20773,0.830982525,1200,8300,2600,0,6322.222222,0,292.5833333,3452.4,0,1154.055556
Nebraska,Midwest,NE,0.432,0.123,167,0.1,0.098,23.97,44,0.898,0.274,0.088,1815500,1,13,2,16,0.125,0,0,0,9,0,0,0,0,0,0,0,7,16,2,1,0,0,0,0,5,0,0,0,4,0,2,1,1,60,3705,4173,0,7938,0.525699169,20000,3680.769231,2000,0,4490.625,60,285,2086.5,0,496.125
Nevada,West,NV,0.448,0.154,430,0.131,0.198,24.8,30,0.839,0.218,0.076,2670861,8,37,15,60,0.25,0,0,0,18,0,0,0,0,0,0,0,42,60,11,1,0,1,0,1,19,2,1,1,12,2,5,2,2,655,11712,55212,0,67579,0.816999364,6791.875,9178.810811,3317,0,7395.1,81.875,316.5405405,3680.8,0,1126.316667
New Hampshire,Northeast,NH,0.425,0.092,117,0.095,0.155,147,23,0.913,0.32,0.112,1338495,2,14,7,23,0.304347826,0,0,0,5,0,0,0,0,0,0,0,19,24,0,0,2,1,0,1,5,1,3,1,5,3,1,1,0,186,24402,33737,0,58325,0.578431204,7375,11564.28571,3014.285714,5000,8447.916667,93,1743,4819.571429,0,2430.208333
New Jersey,Northeast,NJ,0.464,0.111,972,0.137,0.139,1189,34,0.874,0.345,0.129,8799248,16,82,48,146,0.328767123,0,0,0,51,1,0,0,0,0,0,1,94,147,7,8,2,0,6,0,57,2,8,1,31,3,14,2,6,3626,27122,265811,50,296609,0.896166333,5392.4375,6847.182927,4669.625,900,5937.346939,226.625,330.7560976,5537.729167,50,2017.748299
